id,title,slug,description,required_skills,expected_budget,expected_duration,attachments,client_id,specialization_id,status,type,location_type,longitude,latitude,address,created_at,updated_at
4335,Service Engineer,,Ar & Ar Design Construction is seeking qualified candidates for the position of Service Engineer.,,100.0,10,,1,1,,open,remote,,,,,
4336,English Language Translator,,Arka News Agency is seeking an English Language Translator to translate political economic and financial information.,,100.0,10,,1,1,,open,remote,,,,,
4337,Manager Assistant,,"""Consel-Service"" Ltd is seeking a Manager Assistant to be responsible for current documentation proposal and correspondence.",,100.0,10,,1,1,,open,remote,,,,,
4338,PHP/MySQL Software Engineer,,EctoStar Inc. is looking for PHP/MySQL Software Engineers to become part of its web applications development team. Candidates should be willing to work independently from home or personal office.,,100.0,10,,1,1,,open,remote,,,,,
4339,Backhaul and Transmission Manager,,The candidate will be considered for the position of Backhaul Transmission Manager to be responsible for planning and optimizing the Radio Backhaul Network of the Company. This must be done on time and within the budget implementation of the MW backhaul network coordination of site survey assisting in site acquisition procedure etc. The incumbent must supervise the Backhaul installation commission and accept as well as dimension engineer and implement the VSAT and Fiber Optic Transmission networks.,,100.0,10,,1,1,,open,remote,,,,,
4340,Radio Access Network Engineer,,The candidate will be considered for the position of RAN Engineer to be responsible for site survey and preparation of site survey documents. The incumbent will also participate in the supervision of RAN installation procedures commissioning and acceptance as well as RAN operations and maintenance.,,100.0,10,,1,1,,open,remote,,,,,
4341,System Administrator,,The candidate will be considered for the position of System Administrator to be responsible for design sizing installation operation and maintenance of intranet services IT applications IT databases and server security infrastructure. The incumbent will also handle the  infrastructure faults configuration resource utilization performance maintenance and security operations.,,100.0,10,,1,1,,open,remote,,,,,
4342,Radio Access Network Manager,,The candidate will be considered for the position of RAN Manager to be responsible for planning optimizing Radio Access Network site survey following up with site preparation procedures and RAN team management. The incumbent will supervise all RAN installation procedures commission accept as well as manage and maintain RAN operations.,,100.0,10,,1,1,,open,remote,,,,,
4343,IT/ ISP Manager,,The candidate will be considered for the position of IT/ISP Manager to be responsible for definition design implementation of IT/ISP network infrastructure based on created project plan and budget.,,100.0,10,,1,1,,open,remote,,,,,
4344,Senior Software Engineer,,- Be responsible for designing developing troubleshooting and debugging software programs for physical design database viewer editor lithography simulation and analysis; - Be involved in all phases of software development including project planning proble,,100.0,10,,1,1,,open,remote,,,,,
4345,Mechanical Engineer,,Cambric-USA which is going to establish a presence in Armenia invites applications both from experienced and energetic newly-graduated engineers for 20 vacancies.,,100.0,10,,1,1,,open,remote,,,,,
4346,Senior Specialist of Strategy Development Division,,Ameriabank cjsc is seeking a Senior Specialist for Strategy Development Division at Development Department.,,100.0,10,,1,1,,open,remote,,,,,
4347,Purchasing Agent,,The Purchasing Agent is responsible for daily market research collection of quotations negotiations with suppliers and placement of orders.,,100.0,10,,1,1,,open,remote,,,,,
4348,National Expert on Modeling of Financial and Economical,,The objective of the project is to reduce greenhouse gas emissions resulting from the current heat and hot water supply practices in Armenian cities by laying the foundation for the sustainable development of heat and hot water supply services improving their quality and affordability to the customers.  The United Nations Development Programme UNDP in Armenia is the Implementing Agency and the Ministry of Nature Protection of RA is the Executing Agency of the UNDP/GEF/00035799 Armenia: Improving the Energy Efficiency of Municipal Heating and Hot Water Supply project. The Project is funded by GEF.  The Project will be implemented in close co-operation with the activities of other donors including the World Bank/IDA funded Urban Heating Project USAID and other donors funded activities in the field of energy and environment as well as activities aimed at strengthening the management bodies of multi-apartment buildings.   The task objective is to support the Project team with modeling of financial and economic feasibility of heat supply systems rehabilitation.,,100.0,10,,1,1,,open,remote,,,,,
4349,Administrative Assistant,,The Administrative Assistant will be responsible for the day-to-day administrative operations of the unit. he will ensure smooth implementation of clerical and administrative activities and provides efficient management of the unit administrative operations.,,100.0,10,,1,1,,open,remote,,,,,
4350,Product Development Agent,,The Product Development Agent is an entry-level position within the Product Development PD team. The Agent will support the PD team leader in product management and development processes and will handle basic tasks assigned. The Product Development Agent will work with certain product/service/tariff or a group of them or a market segment.,,100.0,10,,1,1,,open,remote,,,,,
